artifact_id,person_id,role,notes
A0001,P0040,subject,
A0002,P0028,subject,
A0004,P0023,subject,
A0005,P0024,subject,
A0014,P0011,subject,
A0015,P0001,subject,
A0014,P0018,mentioned,Rostam Khan branch shown
A0014,P0023,mentioned,Zeyn al-Abedin Khan shown
A0014,P0024,mentioned,Gholamreza Khan shown
A0014,P0028,mentioned,Abdollah Khan Sarem al-Dowleh shown
A0015,P0002,mentioned,
A0015,P0003,mentioned,
A0015,P0004,mentioned,
A0015,P0005,mentioned,
A0015,P0006,mentioned,
A0015,P0007,mentioned,
A0015,P0008,mentioned,
A0003,P0022,probable_subject,"Caption identifies Hossein Khan Hesam al-Molk I, father of Amir Afkham; probable linkage to canonical P0022, but naming variance is retained."
A0005,P0036,spouse_context,Caption identifies P0024 as son-in-law of Mozaffar al-Din Shah; marriage relationship is recorded separately.
A0015,P0094,mentioned,Older Hajilou trunk root in Figure 4.
A0015,P0095,mentioned,Older Hajilou trunk second generation in Figure 4.
A0015,P0096,mentioned,Figure 4 branch head.
A0015,P0073,mentioned,Figure 4 branch head.
A0015,P0097,mentioned,Figure 4 branch head.
A0015,P0098,mentioned,Figure 4 branch head.
A0015,P0099,mentioned,Majzub Ali Shah in Figure 4.
A0015,P0100,mentioned,Figure 4 son of Majzub Ali Shah.
A0015,P0101,mentioned,Figure 4 son of Majzub Ali Shah.
A0015,P0102,mentioned,Figure 4 son of Majzub Ali Shah.
A0015,P0103,mentioned,Figure 4 son of Majzub Ali Shah.
A0015,P0104,mentioned,Figure 4 son of Majzub Ali Shah.
A0015,P0105,mentioned,Figure 4 son of Nasrollah Khan Korijani.
A0015,P0106,mentioned,Figure 4 grandson of Nasrollah Khan Korijani.
A0015,P0107,mentioned,Figure 4 son of Haji Mina Khan.
A0015,P0108,mentioned,Figure 4 son of Haji Mina Khan.
A0015,P0109,mentioned,Figure 4 descendant titled Mansur al-Molk.
A0015,P0110,mentioned,Figure 4 descendant.
A0015,P0111,mentioned,Figure 4 descendant.
A0015,P0112,mentioned,Figure 4 descendant.
A0015,P0113,mentioned,Figure 4 descendant.
A0015,P0114,mentioned,Figure 4 descendant with rank Sarhang.
A0015,P0115,mentioned,Haji Fazlollah/Royani descendant in the corrected Figure 4 reconstruction.
A0015,P0116,mentioned,Haji Fazlollah/Royani descendant in the corrected Figure 4 reconstruction.
A0015,P0117,mentioned,Haji Fazlollah/Royani descendant in the corrected Figure 4 reconstruction.
A0015,P0118,mentioned,Haji Fazlollah/Royani descendant in the corrected Figure 4 reconstruction.
A0015,P0119,mentioned,Haji Fazlollah/Royani descendant in the corrected Figure 4 reconstruction.
A0015,P0120,mentioned,Haji Fazlollah/Royani descendant in the corrected Figure 4 reconstruction.
A0015,P0121,mentioned,Haji Fazlollah/Royani descendant in the corrected Figure 4 reconstruction.
A0015,P0122,mentioned,Haji Fazlollah/Royani descendant in the corrected Figure 4 reconstruction.
A0015,P0123,mentioned,Haji Fazlollah/Royani descendant in the corrected Figure 4 reconstruction.
A0015,P0124,mentioned,Haji Fazlollah/Royani descendant in the corrected Figure 4 reconstruction.
A0015,P0125,mentioned,Haji Fazlollah/Royani descendant in the corrected Figure 4 reconstruction.
A0015,P0126,mentioned,Haji Fazlollah/Royani descendant in the corrected Figure 4 reconstruction.
A0015,P0127,mentioned,Haji Fazlollah/Royani descendant in the corrected Figure 4 reconstruction.
A0015,P0128,mentioned,Haji Fazlollah/Royani descendant in the corrected Figure 4 reconstruction.
A0015,P0129,mentioned,Haji Fazlollah/Royani descendant in the corrected Figure 4 reconstruction.
A0015,P0130,mentioned,Haji Fazlollah/Royani descendant in the corrected Figure 4 reconstruction.
A0015,P0131,mentioned,Haji Fazlollah/Royani descendant in the corrected Figure 4 reconstruction.
A0015,P0132,mentioned,Haji Fazlollah/Royani descendant in the corrected Figure 4 reconstruction.
A0015,P0133,mentioned,Haji Fazlollah/Royani descendant in the corrected Figure 4 reconstruction.
A0015,P0134,mentioned,Haji Fazlollah/Royani descendant in the corrected Figure 4 reconstruction.
A0015,P0135,mentioned,Haji Fazlollah/Royani descendant in the corrected Figure 4 reconstruction.
A0015,P0136,mentioned,Haji Fazlollah/Royani descendant in the corrected Figure 4 reconstruction.
A0015,P0137,mentioned,Haji Fazlollah/Royani descendant in the corrected Figure 4 reconstruction.
A0015,P0138,mentioned,Haji Fazlollah/Royani descendant in the corrected Figure 4 reconstruction.
A0015,P0139,mentioned,Haji Fazlollah/Royani descendant in the corrected Figure 4 reconstruction.
A0015,P0140,mentioned,Haji Fazlollah/Royani descendant in the corrected Figure 4 reconstruction.
A0015,P0141,mentioned,Haji Fazlollah/Royani descendant in the corrected Figure 4 reconstruction.
A0015,P0142,mentioned,Haji Fazlollah/Royani descendant in the corrected Figure 4 reconstruction.
A0015,P0143,mentioned,Haji Fazlollah/Royani descendant in the corrected Figure 4 reconstruction.
A0015,P0144,mentioned,Haji Fazlollah/Royani descendant in the corrected Figure 4 reconstruction.
A0015,P0145,mentioned,Haji Fazlollah/Royani descendant in the corrected Figure 4 reconstruction.
A0015,P0146,mentioned,Haji Fazlollah/Royani descendant in the corrected Figure 4 reconstruction.
A0015,P0147,mentioned,Haji Fazlollah/Royani descendant in the corrected Figure 4 reconstruction.
A0015,P0148,mentioned,Haji Fazlollah/Royani descendant in the corrected Figure 4 reconstruction.
A0015,P0149,mentioned,Haji Fazlollah/Royani descendant in the corrected Figure 4 reconstruction.
A0015,P0150,mentioned,Haji Fazlollah/Royani descendant in the corrected Figure 4 reconstruction.
A0015,P0151,mentioned,Haji Fazlollah/Royani descendant in the corrected Figure 4 reconstruction.
A0015,P0152,mentioned,Haji Fazlollah/Royani descendant in the corrected Figure 4 reconstruction.
A0015,P0153,mentioned,Haji Fazlollah/Royani descendant in the corrected Figure 4 reconstruction.
A0015,P0154,mentioned,Haji Fazlollah/Royani descendant in the corrected Figure 4 reconstruction.
A0015,P0155,mentioned,Haji Fazlollah/Royani descendant in the corrected Figure 4 reconstruction.
A0015,P0156,mentioned,Haji Fazlollah/Royani descendant in the corrected Figure 4 reconstruction.
